date_time,open,high,low,close,CCI
2012-01-30 09:15,20518.0,20518.0,20363.47,20414.82,
2012-01-30 10:15,20407.75,20407.75,20336.88,20394.78,
2012-01-30 11:15,20385.29,20443.24,20374.04,20401.32,
2012-01-30 13:15,20370.87,20390.54,20318.81,20342.81,
2012-01-30 14:15,20339.58,20339.58,20220.33,20258.05,
2012-01-30 15:15,20242.84,20247.62,20144.95,20160.41,
2012-01-31 09:15,20326.49,20397.92,20282.47,20313.97,
2012-01-31 10:15,20327.45,20350.62,20295.01,20320.69,
2012-01-31 11:15,20320.66,20324.39,20280.13,20304.48,
2012-01-31 13:15,20271.22,20293.43,20219.27,20273.87,
2012-01-31 14:15,20273.19,20406.79,20272.12,20406.79,
2012-01-31 15:15,20414.41,20465.89,20368.32,20390.49,
2012-02-01 09:15,20394.67,20534.22,20300.26,20475.21,
2012-02-01 10:15,20475.46,20520.42,20385.35,20415.06,
2012-02-01 11:15,20413.47,20427.65,20380.55,20395.12,
2012-02-01 13:15,20375.16,20429.15,20367.46,20376.07,
2012-02-01 14:15,20373.4,20379.63,20269.51,20285.64,
2012-02-01 15:15,20282.07,20339.73,20270.78,20333.37,
2012-02-02 09:15,20638.96,20638.96,20564.97,20591.48,
2012-02-02 10:15,20587.66,20645.22,20579.79,20593.7,
2012-02-02 11:15,20591.22,20629.68,20588.38,20629.68,
2012-02-02 13:15,20618.01,20682.94,20606.22,20640.09,
2012-02-02 14:15,20638.75,20677.49,20633.79,20671.32,
2012-02-02 15:15,20673.84,20761.7,20665.65,20739.45,
2012-02-03 09:15,20680.71,20744.18,20639.49,20736.05,
2012-02-03 10:15,20748.75,20749.18,20663.67,20698.49,
2012-02-03 11:15,20699.76,20724.84,20690.75,20719.23,
2012-02-03 13:15,20718.01,20796.74,20717.01,20748.94,
2012-02-03 14:15,20753.84,20767.64,20691.1,20691.1,
2012-02-03 15:15,20695.57,20764.22,20684.79,20756.98,106.04672137749745
2012-02-06 09:15,21015.55,21015.55,20871.78,20875.39,161.76932141699447
2012-02-06 10:15,20871.81,20896.06,20841.95,20859.2,127.55584453214509
2012-02-06 11:15,20860.67,20892.73,20854.15,20862.18,118.09831443654193
2012-02-06 13:15,20845.53,20845.53,20678.01,20678.01,66.344457675074
2012-02-06 14:15,20676.79,20729.64,20633.13,20722.16,49.3988388303433
2012-02-06 15:15,20722.8,20776.06,20673.44,20709.94,55.061796207507136
2012-02-07 09:15,20808.05,20881.85,20748.92,20782.38,83.55763825666594
2012-02-07 10:15,20781.86,20804.45,20706.06,20746.2,60.30025809875851
2012-02-07 11:15,20744.19,20746.84,20664.24,20677.11,34.00547764269395
2012-02-07 13:15,20678.6,20733.06,20663.88,20672.86,27.455878351317203
2012-02-07 14:15,20673.35,20702.3,20649.27,20681.29,17.88175362696374
2012-02-07 15:15,20679.33,20752.92,20653.08,20699.19,27.34489284884403
2012-02-08 09:15,20827.89,20840.97,20755.73,20816.71,83.12396740351346
2012-02-08 10:15,20814.96,20837.04,20793.76,20834.54,91.92931704735163
2012-02-08 11:15,20829.82,20839.73,20813.71,20822.06,93.91515519108198
2012-02-08 13:15,20836.41,20978.77,20836.41,20961.32,163.02068761544552
2012-02-08 14:15,20959.83,21007.45,20934.49,21002.71,195.74375553448337
2012-02-08 15:15,21005.75,21023.33,20963.04,21018.46,194.35697771104736
2012-02-09 09:15,20922.29,20922.29,20787.84,20899.79,82.32351198350399
2012-02-09 10:15,20903.49,21031.01,20886.12,20981.95,141.75506675976303
2012-02-09 11:15,20985.17,20989.92,20907.41,20910.52,109.39301583298982
2012-02-09 13:15,20949.21,21041.3,20949.21,21025.28,146.18795736401302
2012-02-09 14:15,21025.61,21045.69,20940.13,21027.86,133.21748832199435
2012-02-09 15:15,21029.32,21053.06,20938.93,21010.01,119.24411518522054
2012-02-10 09:15,20986.25,21002.33,20897.16,20927.56,74.9324671649416
2012-02-10 10:15,20925.65,20976.6,20921.21,20974.4,78.6697492934517
