strategy_name,occurrence,occ_profit,occ_loss,return_geo,period,ground,sky,stop_gain,stop_loss,rebound_channel,simulation_timestamp
CCI_bear_strategy,324,137,187,-0.07536317206581311,20,-195,175,,300,"(0.2, 0.5)",2020-12-21 01:30:38
CCI_bear_strategy,309,134,175,-0.0775539337956821,20,-195,180,,300,"(0.2, 0.5)",2020-12-21 01:30:57
CCI_bear_strategy,647,214,433,-0.07838372356833434,20,-195,115,,300,"(0.2, 0.5)",2020-12-21 01:25:50
CCI_bear_strategy,647,212,435,-0.07934314616009408,20,-200,115,,300,"(0.2, 0.5)",2020-12-21 01:13:14
CCI_bear_strategy,597,202,395,-0.08098537328858724,20,-195,125,,300,"(0.2, 0.5)",2020-12-21 01:26:45
CCI_bear_strategy,309,134,175,-0.08754247054117215,20,-200,180,,300,"(0.2, 0.5)",2020-12-21 01:18:25
CCI_bear_strategy,563,195,368,-0.09521762661777533,20,-200,130,,300,"(0.2, 0.5)",2020-12-21 01:14:37
CCI_bear_strategy,563,197,366,-0.0955182963824428,20,-195,130,,300,"(0.2, 0.5)",2020-12-21 01:27:11
CCI_bear_strategy,401,165,236,-0.09704692291584494,20,-195,160,,300,"(0.2, 0.5)",2020-12-21 01:29:38
CCI_bear_strategy,681,216,465,-0.09714813162878866,20,-190,105,,300,"(0.2, 0.5)",2020-12-21 01:37:21
CCI_bear_strategy,285,121,164,-0.09744597398837085,20,-200,185,,300,"(0.2, 0.5)",2020-12-21 01:18:43
CCI_bear_strategy,401,163,238,-0.1054306312487967,20,-200,160,,300,"(0.2, 0.5)",2020-12-21 01:17:05
CCI_bear_strategy,373,153,220,-0.10619804309895242,20,-195,165,,300,"(0.2, 0.5)",2020-12-21 01:29:59
CCI_bear_strategy,509,185,324,-0.10626017916504693,20,-195,140,,300,"(0.2, 0.5)",2020-12-21 01:28:03
CCI_bear_strategy,373,153,220,-0.10885831969958248,20,-200,165,,300,"(0.2, 0.5)",2020-12-21 01:17:26
CCI_bear_strategy,689,214,475,-0.1088620433891806,20,-195,100,,300,"(0.2, 0.5)",2020-12-21 01:24:25
CCI_bear_strategy,431,172,259,-0.11005950403751741,20,-195,155,,300,"(0.2, 0.5)",2020-12-21 01:29:15
CCI_bear_strategy,689,212,477,-0.11538624420092414,20,-200,100,,300,"(0.2, 0.5)",2020-12-21 01:11:49
CCI_bear_strategy,431,171,260,-0.12205093360272778,20,-200,155,,300,"(0.2, 0.5)",2020-12-21 01:16:42
CCI_bear_strategy,458,179,279,-0.12298252177972668,20,-195,150,,300,"(0.2, 0.5)",2020-12-21 01:28:52
CCI_bear_strategy,509,182,327,-0.12448581904550649,20,-200,140,,300,"(0.2, 0.5)",2020-12-21 01:15:29
CCI_bear_strategy,540,196,344,-0.12756805534408566,20,-190,135,,300,"(0.2, 0.5)",2020-12-21 01:40:04
CCI_bear_strategy,681,214,467,-0.13506500581166736,20,-200,105,,300,"(0.2, 0.5)",2020-12-21 01:12:18
CCI_bear_strategy,681,216,465,-0.13596001128076063,20,-195,105,,300,"(0.2, 0.5)",2020-12-21 01:24:53
CCI_bear_strategy,458,178,280,-0.1439027957679807,20,-200,150,,300,"(0.2, 0.5)",2020-12-21 01:16:19
CCI_bear_strategy,351,143,208,-0.14623366412887484,20,-195,170,,300,"(0.2, 0.5)",2020-12-21 01:30:19
CCI_bear_strategy,351,143,208,-0.15307228967568764,20,-200,170,,300,"(0.2, 0.5)",2020-12-21 01:17:47
CCI_bear_strategy,491,184,307,-0.15814276940835614,20,-195,145,,300,"(0.2, 0.5)",2020-12-21 01:28:28
CCI_bear_strategy,491,180,311,-0.177795308098757,20,-200,145,,300,"(0.2, 0.5)",2020-12-21 01:15:55
CCI_bear_strategy,540,190,350,-0.20447800043199071,20,-195,135,,300,"(0.2, 0.5)",2020-12-21 01:27:38
CCI_bear_strategy,540,187,353,-0.20671254174537823,20,-200,135,,300,"(0.2, 0.5)",2020-12-21 01:15:04
